t,phase,hip_pos,knee_pos,hip_vel_est,knee_vel_est,hip_vel_real,knee_vel_real,foot_x,foot_z,foot_vx,foot_vz,foot_z_world,tau_hip,tau_knee,foot_compression,foot_spring_vel,Fn_sensor
0.005,FLIGHT,1.0453,0.9022,-0.3426,0.3911,-1.2688,1.4383,0.1063,-0.2095,-0.1349,-0.0455,1.0752,-2.9591,2.4637,2.6e-05,0.0114,0.0
0.01,FLIGHT,1.0342,0.9147,-1.7138,1.9304,-3.077,3.4556,0.1019,-0.2109,-0.6739,-0.2122,1.0757,-2.3179,2.0256,0.000103,0.0181,0.0
0.015,FLIGHT,1.0156,0.9355,-3.1282,3.5184,-4.2347,4.7704,0.0946,-0.2131,-1.2383,-0.3419,1.0766,-1.5347,1.4761,0.000196,0.0182,0.0
0.02,FLIGHT,0.9929,0.9612,-4.1091,4.6482,-4.751,5.4112,0.0856,-0.2154,-1.6423,-0.3757,1.0775,-0.867,0.9945,0.000278,0.0143,0.0
0.025,FLIGHT,0.969,0.9888,-4.5745,5.2368,-4.7811,5.5438,0.0759,-0.2173,-1.8477,-0.3303,1.0786,-0.3872,0.6364,0.000336,0.0089,0.0
0.03,FLIGHT,0.9457,1.0161,-4.6147,5.3798,-4.5008,5.3503,0.0664,-0.2188,-1.8845,-0.2445,1.0796,-0.0816,0.3976,0.000367,0.0036,0.0
0.035,FLIGHT,0.9242,1.042,-4.3665,5.2192,-4.0542,4.9801,0.0575,-0.2197,-1.8043,-0.151,1.0805,0.0924,0.2525,0.000374,-0.0007,0.0001
0.04,FLIGHT,0.9052,1.0658,-3.9544,4.8844,-3.542,4.5378,0.0494,-0.2202,-1.6567,-0.0682,1.0813,0.1785,0.1725,0.000363,-0.0036,0.0007
0.045,FLIGHT,0.8888,1.0874,-3.4711,4.4717,-3.0264,4.0882,0.0424,-0.2203,-1.4794,-0.0033,1.082,0.2115,0.1337,0.00034,-0.0052,0.001
0.05,FLIGHT,0.8749,1.1067,-2.9767,4.044,-2.5408,3.6668,0.0362,-0.2202,-1.2971,0.0436,1.0826,0.2153,0.1189,0.000312,-0.0059,0.0012
0.055,FLIGHT,0.8633,1.1241,-2.5057,3.6377,-2.1005,3.2898,0.0309,-0.2199,-1.124,0.0754,1.083,0.205,0.1168,0.000283,-0.0058,0.0012
0.06,FLIGHT,0.8538,1.1397,-2.075,3.2705,-1.7097,2.9616,0.0264,-0.2195,-0.9669,0.0956,1.0834,0.1893,0.1206,0.000255,-0.0053,0.0011
0.065,FLIGHT,0.8462,1.1538,-1.6904,2.9484,-1.3668,2.6804,0.0225,-0.219,-0.8283,0.1075,1.0836,0.1727,0.1265,0.00023,-0.0044,0.0009
0.07,FLIGHT,0.8401,1.1666,-1.3515,2.671,-1.0676,2.4416,0.0192,-0.2185,-0.7077,0.1137,1.0837,0.1572,0.1327,0.00021,-0.0035,0.0007
0.075,FLIGHT,0.8354,1.1783,-1.055,2.4345,-0.8072,2.2398,0.0164,-0.2179,-0.6037,0.1161,1.0837,0.1435,0.1383,0.000195,-0.0025,0.0005
0.08,FLIGHT,0.832,1.189,-0.7965,2.2342,-0.5807,2.0694,0.014,-0.2174,-0.5144,0.1162,1.0837,0.1317,0.1431,0.000185,-0.0016,0.0003
0.085,FLIGHT,0.8296,1.199,-0.5714,2.0648,-0.3836,1.9256,0.0119,-0.2168,-0.4378,0.1147,1.0836,0.1215,0.1469,0.000179,-0.0008,0.0002
0.09,FLIGHT,0.8281,1.2083,-0.3755,1.9217,-0.212,1.8042,0.0102,-0.2163,-0.3721,0.1124,1.0835,0.1126,0.15,0.000177,-0.0001,0.0
0.095,FLIGHT,0.8274,1.2171,-0.2051,1.8008,-0.0628,1.7014,0.0087,-0.2158,-0.3158,0.1097,1.0833,0.1047,0.1525,0.000177,0.0004,0.0
0.1,FLIGHT,0.8274,1.2254,-0.0568,1.6986,0.0669,1.6144,0.0075,-0.2152,-0.2675,0.1069,1.0831,0.0977,0.1543,0.000181,0.0009,0.0
0.105,FLIGHT,0.828,1.2332,0.072,1.6119,0.1794,1.5405,0.0065,-0.2147,-0.226,0.104,1.0828,0.0913,0.1557,0.000186,0.0012,0.0
0.11,FLIGHT,0.8292,1.2408,0.1838,1.5383,0.2769,1.4776,0.0056,-0.2142,-0.1904,0.1014,1.0825,0.0855,0.1567,0.000193,0.0015,0.0
0.115,FLIGHT,0.8308,1.248,0.2805,1.4757,0.361,1.4239,0.0048,-0.2138,-0.16,0.0988,1.0821,0.0801,0.1573,0.0002,0.0016,0.0
0.12,FLIGHT,0.8328,1.255,0.364,1.4222,0.4333,1.3779,0.0042,-0.2133,-0.1338,0.0965,1.0818,0.0751,0.1576,0.000209,0.0017,0.0
0.125,FLIGHT,0.8351,1.2618,0.4357,1.3763,0.4951,1.3383,0.0037,-0.2128,-0.1115,0.0945,1.0814,0.0704,0.1577,0.000217,0.0018,0.0
0.13,FLIGHT,0.8377,1.2684,0.4971,1.3368,0.5478,1.304,0.0033,-0.2124,-0.0925,0.0926,1.081,0.066,0.1574,0.000226,0.0017,0.0
0.135,FLIGHT,0.8406,1.2749,0.5493,1.3026,0.5922,1.2739,0.0029,-0.2119,-0.0762,0.091,1.0806,0.0619,0.1569,0.000235,0.0017,0.0
0.14,FLIGHT,0.8436,1.2812,0.5933,1.2726,0.6294,1.2475,0.0026,-0.2115,-0.0624,0.0895,1.0802,0.058,0.1562,0.000243,0.0016,0.0
0.145,FLIGHT,0.8468,1.2874,0.6302,1.2462,0.6603,1.2238,0.0024,-0.211,-0.0507,0.0881,1.0797,0.0544,0.1553,0.000251,0.0015,0.0
0.15,FLIGHT,0.8502,1.2934,0.6608,1.2226,0.6855,1.2025,0.0022,-0.2106,-0.0409,0.0869,1.0793,0.051,0.1542,0.000258,0.0014,0.0
0.155,FLIGHT,0.8537,1.2994,0.6857,1.2012,0.7057,1.183,0.0021,-0.2102,-0.0326,0.0858,1.0788,0.0477,0.153,0.000265,0.0013,0.0
0.16,FLIGHT,0.8573,1.3052,0.7057,1.1817,0.7216,1.165,0.002,-0.2098,-0.0256,0.0848,1.0783,0.0447,0.1516,0.000271,0.0012,0.0
0.165,FLIGHT,0.8609,1.311,0.7213,1.1637,0.7336,1.148,0.0019,-0.2093,-0.0198,0.0839,1.0778,0.0418,0.1501,0.000277,0.0011,0.0
0.17,FLIGHT,0.8646,1.3167,0.7332,1.1467,0.7422,1.1319,0.0018,-0.2089,-0.015,0.083,1.0774,0.039,0.1484,0.000282,0.0009,0.0
0.175,FLIGHT,0.8683,1.3224,0.7416,1.1305,0.7478,1.1164,0.0018,-0.2085,-0.011,0.0821,1.0769,0.0364,0.1467,0.000286,0.0008,0.0
0.18,FLIGHT,0.8721,1.3279,0.7471,1.115,0.7508,1.1013,0.0017,-0.2081,-0.0077,0.0813,1.0764,0.0339,0.1449,0.00029,0.0007,0.0
0.185,FLIGHT,0.8758,1.3334,0.75,1.0998,0.7516,1.0864,0.0017,-0.2077,-0.005,0.0805,1.0758,0.0316,0.143,0.000294,0.0006,0.0
0.19,FLIGHT,0.8796,1.3388,0.7507,1.085,0.7504,1.0717,0.0017,-0.2073,-0.0029,0.0797,1.0753,0.0293,0.141,0.000296,0.0005,0.0
