t,phase,hip_pos,knee_pos,hip_vel_est,knee_vel_est,hip_vel_real,knee_vel_real,foot_x,foot_z,foot_vx,foot_vz,foot_z_world,tau_hip,tau_knee,foot_compression,foot_spring_vel,Fn_sensor
0.005,FLIGHT,1.0461,0.9008,-0.1987,0.1553,-0.7419,0.6617,0.1067,-0.2094,-0.0667,-0.0249,1.0752,-3.0142,3.4004,3e-05,0.0109,0.0
0.01,FLIGHT,1.0394,0.9071,-1.0291,0.9605,-1.8882,1.8083,0.1043,-0.2102,-0.3716,-0.128,1.0754,-2.6586,3.166,9.7e-05,0.0152,0.0
0.015,FLIGHT,1.0276,0.9186,-1.9865,1.916,-2.809,2.7462,0.0999,-0.2117,-0.731,-0.2325,1.0759,-2.1721,2.8407,0.000176,0.0158,0.0
0.02,FLIGHT,1.0118,0.9341,-2.8184,2.7678,-3.4759,3.453,0.094,-0.2134,-1.0514,-0.3,1.0766,-1.6815,2.5102,0.000251,0.014,0.0
0.025,FLIGHT,0.9932,0.9527,-3.444,3.435,-3.9066,3.9441,0.087,-0.2153,-1.301,-0.3224,1.0773,-1.2365,2.2084,0.000314,0.011,0.0
0.03,FLIGHT,0.9731,0.9733,-3.8559,3.9079,-4.1346,4.2486,0.0793,-0.217,-1.4739,-0.3057,1.0781,-0.8526,1.9465,0.00036,0.0074,0.0
0.035,FLIGHT,0.9522,0.9949,-4.0762,4.2043,-4.1966,4.3985,0.0712,-0.2185,-1.5755,-0.2611,1.079,-0.5308,1.726,0.000388,0.004,0.0
0.04,FLIGHT,0.9313,1.017,-4.1359,4.3511,-4.1271,4.424,0.0631,-0.2197,-1.6154,-0.2001,1.0799,-0.2666,1.5447,0.000401,0.0011,0.0
0.045,FLIGHT,0.9111,1.039,-4.067,4.3764,-3.9566,4.3525,0.0551,-0.2205,-1.6045,-0.1329,1.0807,-0.0535,1.3989,0.0004,-0.0013,0.0003
0.05,FLIGHT,0.8919,1.0604,-3.8986,4.3062,-3.7111,4.2078,0.0474,-0.221,-1.5536,-0.0669,1.0815,0.1149,1.2848,0.000389,-0.003,0.0006
0.055,FLIGHT,0.8741,1.081,-3.6563,4.1639,-3.4129,4.0102,0.0401,-0.2211,-1.4729,-0.0073,1.0822,0.2449,1.1983,0.00037,-0.0042,0.0008
0.06,FLIGHT,0.8578,1.1005,-3.3618,3.9693,-3.0803,3.777,0.0334,-0.221,-1.3712,0.0431,1.0828,0.342,1.1358,0.000347,-0.0049,0.001
0.065,FLIGHT,0.8433,1.1187,-3.0332,3.7396,-2.7283,3.5224,0.0274,-0.2207,-1.2561,0.0828,1.0834,0.4114,1.0938,0.000322,-0.0053,0.0011
0.07,FLIGHT,0.8305,1.1357,-2.6855,3.4887,-2.3692,3.2582,0.0219,-0.2202,-1.1339,0.1121,1.0838,0.4576,1.0688,0.000295,-0.0052,0.001
0.075,FLIGHT,0.8196,1.1513,-2.3307,3.2283,-2.0127,2.9936,0.0171,-0.2197,-1.0095,0.1316,1.0841,0.4846,1.0579,0.000269,-0.005,0.001
0.08,FLIGHT,0.8104,1.1656,-1.9783,2.9674,-1.6663,2.7358,0.0129,-0.219,-0.8868,0.1428,1.0843,0.496,1.0583,0.000246,-0.0045,0.0009
0.085,FLIGHT,0.8029,1.1787,-1.636,2.7132,-1.3356,2.4902,0.0092,-0.2183,-0.7686,0.1472,1.0845,0.4949,1.0676,0.000224,-0.004,0.0008
