t,phase,hip_pos,knee_pos,hip_vel_est,knee_vel_est,hip_vel_real,knee_vel_real,foot_x,foot_z,foot_vx,foot_vz,foot_z_world,tau_hip,tau_knee,foot_compression,foot_spring_vel,Fn_sensor
0.005,FLIGHT,1.0453,0.9016,-0.3357,0.3021,-1.2475,1.2681,0.1064,-0.2095,-0.1191,-0.0428,1.0752,-2.9794,3.38,3.9e-05,0.0143,0.0
0.01,FLIGHT,1.0345,0.9131,-1.6717,1.7551,-2.9837,3.1936,0.1023,-0.2109,-0.6365,-0.2056,1.0757,-2.364,2.9714,0.000126,0.0193,0.0
0.015,FLIGHT,1.0167,0.9322,-3.011,3.2276,-4.0378,4.3611,0.0954,-0.213,-1.1655,-0.3315,1.0765,-1.6247,2.4725,0.000222,0.0183,0.0
0.02,FLIGHT,0.9952,0.9555,-3.9003,4.2196,-4.4629,4.8598,0.087,-0.2151,-1.5265,-0.3666,1.0774,-1.015,2.0569,0.000303,0.0137,0.0
0.025,FLIGHT,0.9728,0.9801,-4.2901,4.6839,-4.4437,4.8951,0.0782,-0.2171,-1.6947,-0.3297,1.0783,-0.5934,1.7675,0.000357,0.0081,0.0
0.03,FLIGHT,0.9512,1.004,-4.2925,4.7439,-4.1648,4.6631,0.0695,-0.2185,-1.7103,-0.2577,1.0793,-0.3341,1.5894,0.000385,0.003,0.0
0.035,FLIGHT,0.9313,1.0265,-4.0512,4.5522,-3.7643,4.308,0.0615,-0.2196,-1.6282,-0.1789,1.0801,-0.1888,1.491,0.00039,-0.0009,0.0002
0.04,FLIGHT,0.9136,1.0471,-3.6855,4.2337,-3.329,3.9197,0.0543,-0.2202,-1.4956,-0.1084,1.0808,-0.1134,1.4425,0.000378,-0.0034,0.0007
0.045,FLIGHT,0.898,1.0657,-3.2761,3.8724,-2.9062,3.5463,0.0479,-0.2206,-1.345,-0.0515,1.0814,-0.0761,1.4217,0.000357,-0.0048,0.001
0.05,FLIGHT,0.8845,1.0826,-2.8704,3.5166,-2.517,3.2089,0.0422,-0.2207,-1.1955,-0.0083,1.0819,-0.0571,1.4146,0.000332,-0.0053,0.0011
0.055,FLIGHT,0.8728,1.0979,-2.4916,3.1897,-2.1677,2.913,0.0372,-0.2206,-1.0565,0.0234,1.0823,-0.0457,1.4133,0.000306,-0.0051,0.001
0.06,FLIGHT,0.8628,1.1118,-2.1483,2.8996,-1.8573,2.6569,0.0327,-0.2204,-0.9316,0.0461,1.0826,-0.0367,1.4138,0.000281,-0.0046,0.0009
0.065,FLIGHT,0.8542,1.1245,-1.8412,2.6466,-1.582,2.4357,0.0289,-0.2202,-0.8211,0.0621,1.0829,-0.0281,1.4147,0.00026,-0.0039,0.0008
0.07,FLIGHT,0.8469,1.1362,-1.5679,2.4272,-1.3372,2.2445,0.0254,-0.2198,-0.7239,0.073,1.083,-0.0194,1.4153,0.000242,-0.0032,0.0006
0.075,FLIGHT,0.8408,1.147,-1.3246,2.2369,-1.119,2.0783,0.0224,-0.2195,-0.6384,0.0803,1.0831,-0.0109,1.4158,0.000228,-0.0024,0.0005
0.08,FLIGHT,0.8357,1.157,-1.1075,2.0715,-0.9239,1.9334,0.0197,-0.2191,-0.563,0.0848,1.0831,-0.0028,1.4163,0.000218,-0.0017,0.0003
0.085,FLIGHT,0.8315,1.1663,-0.9135,1.9273,-0.7493,1.8066,0.0174,-0.2186,-0.4965,0.0874,1.083,0.0047,1.417,0.000211,-0.001,0.0002
0.09,FLIGHT,0.8281,1.1751,-0.7399,1.8011,-0.5928,1.6954,0.0153,-0.2182,-0.4376,0.0885,1.0829,0.0114,1.418,0.000208,-0.0005,0.0001
0.095,FLIGHT,0.8255,1.1833,-0.5844,1.6905,-0.4527,1.5977,0.0135,-0.2178,-0.3854,0.0886,1.0827,0.0172,1.4192,0.000206,-0.0,0.0
0.1,FLIGHT,0.8236,1.1911,-0.4452,1.5933,-0.3274,1.5118,0.0119,-0.2174,-0.3392,0.088,1.0825,0.0222,1.4207,0.000207,0.0003,0.0
0.105,FLIGHT,0.8222,1.1985,-0.3207,1.5079,-0.2155,1.4361,0.0104,-0.217,-0.2982,0.087,1.0823,0.0264,1.4224,0.00021,0.0006,0.0
0.11,FLIGHT,0.8214,1.2055,-0.2096,1.4326,-0.1157,1.3694,0.0092,-0.2165,-0.2619,0.0856,1.082,0.0299,1.4244,0.000214,0.0009,0.0
0.115,FLIGHT,0.8211,1.2122,-0.1105,1.3663,-0.0269,1.3105,0.0081,-0.2161,-0.2298,0.084,1.0816,0.0328,1.4265,0.000218,0.001,0.0
0.12,FLIGHT,0.8211,1.2186,-0.0224,1.3077,0.052,1.2584,0.0072,-0.2157,-0.2014,0.0824,1.0813,0.0352,1.4288,0.000224,0.0011,0.0
0.125,FLIGHT,0.8216,1.2248,0.0559,1.2559,0.1218,1.2123,0.0063,-0.2153,-0.1763,0.0807,1.0809,0.0371,1.4311,0.00023,0.0012,0.0
0.13,FLIGHT,0.8223,1.2307,0.1251,1.21,0.1834,1.1712,0.0056,-0.2149,-0.1541,0.079,1.0804,0.0385,1.4336,0.000236,0.0012,0.0
0.135,FLIGHT,0.8234,1.2365,0.1863,1.1691,0.2377,1.1346,0.005,-0.2146,-0.1346,0.0774,1.08,0.0396,1.436,0.000242,0.0012,0.0
0.14,FLIGHT,0.8247,1.2421,0.2402,1.1327,0.2854,1.1019,0.0044,-0.2142,-0.1173,0.0759,1.0795,0.0404,1.4386,0.000248,0.0012,0.0
0.145,FLIGHT,0.8262,1.2475,0.2875,1.1001,0.3271,1.0724,0.0039,-0.2138,-0.1022,0.0745,1.079,0.041,1.4411,0.000254,0.0012,0.0
0.15,FLIGHT,0.828,1.2528,0.3289,1.0708,0.3635,1.0459,0.0035,-0.2135,-0.0888,0.0731,1.0785,0.0413,1.4437,0.00026,0.0011,0.0
0.155,FLIGHT,0.8299,1.258,0.365,1.0443,0.395,1.0217,0.0032,-0.2131,-0.0771,0.0718,1.078,0.0413,1.4462,0.000265,0.001,0.0
0.16,FLIGHT,0.8319,1.263,0.3962,1.0203,0.4222,0.9997,0.0028,-0.2128,-0.0668,0.0706,1.0774,0.0413,1.4488,0.00027,0.001,0.0
0.165,FLIGHT,0.8341,1.268,0.4232,0.9983,0.4456,0.9795,0.0026,-0.2124,-0.0578,0.0695,1.0768,0.041,1.4513,0.000275,0.0009,0.0
0.17,FLIGHT,0.8363,1.2728,0.4464,0.9782,0.4655,0.9609,0.0023,-0.2121,-0.0499,0.0685,1.0763,0.0407,1.4539,0.000279,0.0008,0.0
0.175,FLIGHT,0.8387,1.2776,0.4661,0.9596,0.4823,0.9436,0.0021,-0.2117,-0.0429,0.0675,1.0756,0.0402,1.4564,0.000283,0.0007,0.0
0.18,FLIGHT,0.8412,1.2823,0.4827,0.9424,0.4964,0.9275,0.002,-0.2114,-0.0369,0.0665,1.075,0.0396,1.4589,0.000287,0.0007,0.0
0.185,FLIGHT,0.8437,1.2869,0.4966,0.9263,0.508,0.9123,0.0018,-0.2111,-0.0316,0.0657,1.0744,0.039,1.4613,0.00029,0.0006,0.0
0.19,FLIGHT,0.8462,1.2914,0.5081,0.9112,0.5174,0.898,0.0017,-0.2108,-0.027,0.0648,1.0738,0.0383,1.4638,0.000292,0.0005,0.0
0.195,FLIGHT,0.8488,1.2958,0.5174,0.8969,0.5248,0.8844,0.0016,-0.2104,-0.023,0.064,1.0731,0.0375,1.4662,0.000295,0.0004,0.0
0.2,FLIGHT,0.8515,1.3002,0.5248,0.8833,0.5306,0.8714,0.0015,-0.2101,-0.0195,0.0633,1.0724,0.0367,1.4685,0.000297,0.0004,0.0
0.205,FLIGHT,0.8541,1.3045,0.5304,0.8703,0.5348,0.8589,0.0014,-0.2098,-0.0164,0.0625,1.0717,0.0359,1.4709,0.000299,0.0003,0.0
0.21,FLIGHT,0.8568,1.3088,0.5345,0.8579,0.5376,0.8469,0.0014,-0.2095,-0.0138,0.0618,1.0711,0.035,1.4731,0.0003,0.0003,0.0
0.215,FLIGHT,0.8595,1.313,0.5373,0.8459,0.5393,0.8353,0.0013,-0.2092,-0.0115,0.0611,1.0703,0.0341,1.4754,0.000301,0.0002,0.0
0.22,FLIGHT,0.8622,1.3172,0.5389,0.8342,0.5399,0.824,0.0013,-0.2089,-0.0096,0.0604,1.0696,0.0332,1.4776,0.000302,0.0002,0.0
0.225,FLIGHT,0.8649,1.3213,0.5395,0.8229,0.5395,0.813,0.0012,-0.2086,-0.0079,0.0598,1.0689,0.0323,1.4798,0.000303,0.0001,0.0
0.23,FLIGHT,0.8676,1.3253,0.5391,0.8119,0.5384,0.8022,0.0012,-0.2083,-0.0064,0.0591,1.0682,0.0313,1.482,0.000304,0.0001,0.0
0.235,FLIGHT,0.8703,1.3293,0.5379,0.8012,0.5365,0.7916,0.0012,-0.208,-0.0052,0.0585,1.0674,0.0304,1.4841,0.000304,0.0001,0.0
0.24,FLIGHT,0.873,1.3332,0.536,0.7906,0.5341,0.7812,0.0012,-0.2077,-0.0041,0.0579,1.0666,0.0295,1.4861,0.000304,0.0,0.0
0.245,FLIGHT,0.8756,1.3371,0.5335,0.7802,0.531,0.771,0.0011,-0.2075,-0.0032,0.0572,1.0659,0.0285,1.4882,0.000304,-0.0,0.0
0.25,FLIGHT,0.8783,1.3409,0.5305,0.77,0.5275,0.761,0.0011,-0.2072,-0.0024,0.0566,1.0651,0.0275,1.4902,0.000304,-0.0,0.0
0.255,FLIGHT,0.8809,1.3447,0.527,0.76,0.5236,0.751,0.0011,-0.2069,-0.0018,0.056,1.0643,0.0266,1.4921,0.000304,-0.0001,0.0
0.26,FLIGHT,0.8835,1.3484,0.523,0.75,0.5193,0.7412,0.0011,-0.2066,-0.0012,0.0554,1.0635,0.0256,1.4941,0.000304,-0.0001,0.0
0.265,FLIGHT,0.8861,1.3521,0.5187,0.7402,0.5148,0.7315,0.0011,-0.2063,-0.0008,0.0548,1.0626,0.0247,1.4959,0.000303,-0.0001,0.0
0.27,FLIGHT,0.8887,1.3557,0.5142,0.7305,0.5099,0.7218,0.0011,-0.2061,-0.0004,0.0542,1.0618,0.0237,1.4978,0.000303,-0.0001,0.0
0.275,FLIGHT,0.8912,1.3593,0.5093,0.7209,0.5049,0.7123,0.0011,-0.2058,-0.0,0.0536,1.061,0.0228,1.4996,0.000302,-0.0001,0.0
0.28,FLIGHT,0.8937,1.3629,0.5043,0.7113,0.4996,0.7028,0.0011,-0.2055,0.0002,0.053,1.0601,0.0219,1.5014,0.000302,-0.0001,0.0
0.285,FLIGHT,0.8962,1.3664,0.499,0.7019,0.4942,0.6935,0.0011,-0.2053,0.0004,0.0524,1.0592,0.0209,1.5032,0.000301,-0.0001,0.0
0.29,FLIGHT,0.8987,1.3698,0.4936,0.6925,0.4887,0.6842,0.0011,-0.205,0.0006,0.0518,1.0583,0.02,1.5049,0.0003,-0.0002,0.0
0.295,FLIGHT,0.9011,1.3732,0.4881,0.6832,0.4831,0.675,0.0011,-0.2048,0.0007,0.0512,1.0574,0.0191,1.5066,0.000299,-0.0002,0.0
0.3,FLIGHT,0.9035,1.3766,0.4824,0.674,0.4773,0.6658,0.0011,-0.2045,0.0009,0.0506,1.0565,0.0182,1.5082,0.000299,-0.0002,0.0
0.305,FLIGHT,0.9059,1.3799,0.4767,0.6649,0.4715,0.6567,0.0011,-0.2043,0.0009,0.05,1.0556,0.0173,1.5099,0.000298,-0.0002,0.0
0.31,FLIGHT,0.9082,1.3831,0.4709,0.6558,0.4657,0.6478,0.0011,-0.204,0.001,0.0494,1.0547,0.0164,1.5115,0.000297,-0.0002,0.0
0.315,FLIGHT,0.9105,1.3863,0.465,0.6469,0.4598,0.6388,0.0012,-0.2038,0.001,0.0488,1.0537,0.0155,1.513,0.000296,-0.0002,0.0
0.32,FLIGHT,0.9128,1.3895,0.4592,0.6379,0.4539,0.63,0.0012,-0.2035,0.0011,0.0482,1.0528,0.0146,1.5146,0.000295,-0.0002,0.0
0.325,FLIGHT,0.9151,1.3926,0.4532,0.6291,0.4479,0.6212,0.0012,-0.2033,0.0011,0.0477,1.0518,0.0137,1.5161,0.000294,-0.0002,0.0
0.33,FLIGHT,0.9173,1.3957,0.4473,0.6203,0.442,0.6125,0.0012,-0.2031,0.0011,0.0471,1.0508,0.0129,1.5175,0.000293,-0.0002,0.0
0.335,FLIGHT,0.9195,1.3988,0.4414,0.6117,0.4361,0.6039,0.0012,-0.2028,0.0011,0.0465,1.0498,0.012,1.519,0.000292,-0.0002,0.0
0.34,FLIGHT,0.9216,1.4018,0.4355,0.603,0.4301,0.5954,0.0012,-0.2026,0.001,0.0459,1.0488,0.0112,1.5204,0.000291,-0.0002,0.0
0.345,FLIGHT,0.9238,1.4047,0.4295,0.5945,0.4242,0.5869,0.0012,-0.2024,0.001,0.0453,1.0478,0.0103,1.5218,0.00029,-0.0002,0.0
0.35,FLIGHT,0.9259,1.4076,0.4236,0.5861,0.4184,0.5785,0.0012,-0.2022,0.001,0.0448,1.0468,0.0095,1.5232,0.000289,-0.0002,0.0
0.355,FLIGHT,0.928,1.4105,0.4177,0.5777,0.4125,0.5702,0.0012,-0.202,0.0009,0.0442,1.0457,0.0087,1.5245,0.000288,-0.0002,0.0
0.36,FLIGHT,0.93,1.4133,0.4119,0.5694,0.4067,0.562,0.0012,-0.2017,0.0009,0.0436,1.0447,0.0078,1.5259,0.000287,-0.0002,0.0
0.365,FLIGHT,0.932,1.4161,0.4061,0.5612,0.4009,0.5538,0.0012,-0.2015,0.0009,0.0431,1.0436,0.007,1.5272,0.000286,-0.0002,0.0
0.37,FLIGHT,0.934,1.4189,0.4003,0.553,0.3951,0.5458,0.0012,-0.2013,0.0008,0.0425,1.0425,0.0062,1.5284,0.000285,-0.0002,0.0
0.375,FLIGHT,0.936,1.4216,0.3945,0.545,0.3894,0.5378,0.0012,-0.2011,0.0008,0.0419,1.0414,0.0054,1.5297,0.000284,-0.0002,0.0
0.38,FLIGHT,0.9379,1.4243,0.3888,0.537,0.3837,0.5299,0.0012,-0.2009,0.0007,0.0414,1.0403,0.0046,1.5309,0.000283,-0.0002,0.0
0.385,FLIGHT,0.9398,1.4269,0.3831,0.5291,0.3781,0.5221,0.0012,-0.2007,0.0007,0.0408,1.0392,0.0039,1.5321,0.000282,-0.0002,0.0
0.39,FLIGHT,0.9417,1.4295,0.3775,0.5213,0.3725,0.5144,0.0012,-0.2005,0.0006,0.0403,1.0381,0.0031,1.5333,0.000281,-0.0002,0.0
0.395,FLIGHT,0.9435,1.432,0.3719,0.5136,0.367,0.5067,0.0012,-0.2003,0.0006,0.0397,1.0369,0.0023,1.5345,0.00028,-0.0002,0.0
0.4,FLIGHT,0.9454,1.4345,0.3664,0.506,0.3615,0.4992,0.0012,-0.2001,0.0005,0.0392,1.0358,0.0016,1.5356,0.000279,-0.0002,0.0
0.405,FLIGHT,0.9472,1.437,0.3609,0.4984,0.356,0.4917,0.0012,-0.1999,0.0005,0.0387,1.0346,0.0008,1.5367,0.000278,-0.0002,0.0
0.41,FLIGHT,0.9489,1.4395,0.3555,0.4909,0.3507,0.4843,0.0012,-0.1997,0.0004,0.0381,1.0334,0.0001,1.5379,0.000276,-0.0002,0.0
0.415,FLIGHT,0.9507,1.4419,0.3501,0.4836,0.3453,0.477,0.0012,-0.1995,0.0003,0.0376,1.0322,-0.0007,1.5389,0.000275,-0.0002,0.0
0.42,FLIGHT,0.9524,1.4442,0.3448,0.4763,0.34,0.4698,0.0012,-0.1993,0.0003,0.0371,1.031,-0.0014,1.54,0.000274,-0.0002,0.0
0.425,FLIGHT,0.9541,1.4466,0.3395,0.4691,0.3348,0.4626,0.0012,-0.1992,0.0002,0.0366,1.0298,-0.0021,1.541,0.000273,-0.0002,0.0
0.43,FLIGHT,0.9557,1.4489,0.3343,0.4619,0.3296,0.4556,0.0012,-0.199,0.0002,0.0361,1.0285,-0.0028,1.5421,0.000272,-0.0002,0.0
0.435,FLIGHT,0.9574,1.4511,0.3291,0.4549,0.3245,0.4486,0.0012,-0.1988,0.0001,0.0356,1.0273,-0.0035,1.5431,0.000271,-0.0002,0.0
0.44,FLIGHT,0.959,1.4533,0.324,0.448,0.3194,0.4418,0.0012,-0.1986,0.0001,0.035,1.026,-0.0042,1.544,0.00027,-0.0002,0.0
0.445,FLIGHT,0.9606,1.4555,0.3189,0.4411,0.3144,0.435,0.0012,-0.1985,0.0,0.0346,1.0248,-0.0049,1.545,0.000269,-0.0002,0.0
