t,phase,hip_pos,knee_pos,hip_vel_est,knee_vel_est,hip_vel_real,knee_vel_real,foot_x,foot_z,foot_vx,foot_vz,foot_z_world,tau_hip,tau_knee,foot_compression,foot_spring_vel,Fn_sensor
0.005,FLIGHT,1.0453,0.9016,-0.3383,0.2963,-1.2631,1.2717,0.1064,-0.2095,-0.1187,-0.0429,1.0752,-2.9812,3.4715,4.1e-05,0.0147,0.0
0.01,FLIGHT,1.0342,0.9133,-1.7154,1.8007,-3.0895,3.3233,0.1022,-0.2109,-0.6532,-0.2107,1.0757,-2.3489,3.053,0.00013,0.0198,0.0
0.015,FLIGHT,1.0155,0.9336,-3.1453,3.4,-4.2675,4.6698,0.0949,-0.2131,-1.2226,-0.3439,1.0765,-1.562,2.5238,0.000229,0.019,0.0
0.02,FLIGHT,0.9926,0.9588,-4.1431,4.5515,-4.7988,5.334,0.0859,-0.2154,-1.6339,-0.381,1.0775,-0.8869,2.0653,0.000313,0.0144,0.0
0.025,FLIGHT,0.9684,0.9861,-4.6214,5.1598,-4.8372,5.4819,0.0762,-0.2174,-1.8456,-0.3374,1.0786,-0.4002,1.7326,0.00037,0.0085,0.0
0.03,FLIGHT,0.9448,1.0131,-4.6692,5.317,-4.5598,5.2977,0.0667,-0.2189,-1.8867,-0.2522,1.0796,-0.0894,1.5201,0.000399,0.003,0.0
0.035,FLIGHT,0.9231,1.0387,-4.424,5.1657,-4.1126,4.9331,0.0577,-0.2199,-1.8091,-0.1583,1.0805,0.088,1.401,0.000402,-0.0013,0.0003
0.04,FLIGHT,0.9038,1.0623,-4.0115,4.8367,-3.5977,4.4943,0.0497,-0.2204,-1.6626,-0.0749,1.0814,0.1761,1.3456,0.000388,-0.0043,0.0009
0.045,FLIGHT,0.8871,1.0837,-3.5258,4.4279,-3.0784,4.0473,0.0426,-0.2205,-1.4854,-0.0092,1.0821,0.2102,1.3296,0.000362,-0.0059,0.0012
0.05,FLIGHT,0.873,1.1028,-3.028,4.0033,-2.5888,3.6284,0.0364,-0.2204,-1.3028,0.0384,1.0826,0.2145,1.3355,0.00033,-0.0065,0.0013
0.055,FLIGHT,0.8611,1.12,-2.5532,3.5996,-2.1445,3.2539,0.0311,-0.2201,-1.1293,0.0708,1.0831,0.2045,1.3522,0.000297,-0.0064,0.0013
0.06,FLIGHT,0.8514,1.1355,-2.1187,3.2349,-1.7499,2.9282,0.0265,-0.2197,-0.9718,0.0916,1.0834,0.189,1.3729,0.000267,-0.0058,0.0012
0.065,FLIGHT,0.8436,1.1494,-1.7303,2.9154,-1.4034,2.6497,0.0226,-0.2193,-0.8326,0.1039,1.0836,0.1726,1.3941,0.00024,-0.0049,0.001
0.07,FLIGHT,0.8373,1.162,-1.3878,2.6406,-1.1008,2.4136,0.0193,-0.2188,-0.7116,0.1105,1.0837,0.1572,1.4141,0.000218,-0.0039,0.0008
0.075,FLIGHT,0.8325,1.1736,-1.088,2.4069,-0.8372,2.2145,0.0165,-0.2182,-0.6072,0.1133,1.0838,0.1437,1.4324,0.000201,-0.0029,0.0006
0.08,FLIGHT,0.8289,1.1842,-0.8263,2.2092,-0.6077,2.0467,0.0141,-0.2177,-0.5175,0.1137,1.0838,0.132,1.4488,0.000189,-0.0019,0.0004
0.085,FLIGHT,0.8264,1.1941,-0.5982,2.0423,-0.4077,1.9054,0.012,-0.2172,-0.4406,0.1125,1.0837,0.1219,1.4635,0.000182,-0.0011,0.0002
0.09,FLIGHT,0.8248,1.2033,-0.3995,1.9017,-0.2335,1.7862,0.0103,-0.2166,-0.3746,0.1105,1.0835,0.1131,1.4767,0.000178,-0.0003,0.0001
0.095,FLIGHT,0.824,1.212,-0.2263,1.7831,-0.0817,1.6857,0.0088,-0.2161,-0.318,0.108,1.0833,0.1053,1.4886,0.000178,0.0003,0.0
0.1,FLIGHT,0.8239,1.2202,-0.0755,1.683,0.0503,1.6007,0.0075,-0.2156,-0.2694,0.1053,1.0831,0.0983,1.4995,0.000181,0.0008,0.0
0.105,FLIGHT,0.8245,1.228,0.0556,1.5984,0.1651,1.5287,0.0065,-0.2151,-0.2277,0.1027,1.0828,0.092,1.5095,0.000185,0.0011,0.0
0.11,FLIGHT,0.8255,1.2355,0.1696,1.5267,0.2646,1.4677,0.0056,-0.2146,-0.1919,0.1001,1.0825,0.0862,1.5187,0.000192,0.0014,0.0
0.115,FLIGHT,0.8271,1.2427,0.2684,1.4659,0.3506,1.4157,0.0048,-0.2141,-0.1611,0.0978,1.0821,0.0809,1.5273,0.000199,0.0016,0.0
0.12,FLIGHT,0.829,1.2497,0.3537,1.4141,0.4246,1.3712,0.0042,-0.2137,-0.1348,0.0956,1.0817,0.0759,1.5353,0.000207,0.0017,0.0
0.125,FLIGHT,0.8313,1.2564,0.4272,1.3698,0.4881,1.3331,0.0037,-0.2132,-0.1123,0.0937,1.0814,0.0712,1.5427,0.000216,0.0017,0.0
0.13,FLIGHT,0.8339,1.263,0.4902,1.3317,0.5422,1.3001,0.0033,-0.2127,-0.0931,0.0919,1.0809,0.0668,1.5497,0.000225,0.0017,0.0
0.135,FLIGHT,0.8367,1.2694,0.5439,1.2988,0.5881,1.2713,0.0029,-0.2123,-0.0767,0.0904,1.0805,0.0627,1.5563,0.000233,0.0017,0.0
0.14,FLIGHT,0.8398,1.2757,0.5893,1.2701,0.6265,1.246,0.0026,-0.2119,-0.0628,0.089,1.0801,0.0588,1.5626,0.000242,0.0016,0.0
0.145,FLIGHT,0.843,1.2819,0.6274,1.2448,0.6585,1.2235,0.0024,-0.2114,-0.051,0.0877,1.0796,0.0552,1.5685,0.00025,0.0016,0.0
0.15,FLIGHT,0.8463,1.288,0.6591,1.2223,0.6848,1.2032,0.0022,-0.211,-0.0411,0.0866,1.0791,0.0517,1.5741,0.000257,0.0015,0.0
0.155,FLIGHT,0.8498,1.2939,0.685,1.202,0.7059,1.1846,0.0021,-0.2106,-0.0327,0.0856,1.0787,0.0485,1.5794,0.000264,0.0013,0.0
0.16,FLIGHT,0.8534,1.2998,0.706,1.1834,0.7226,1.1675,0.002,-0.2102,-0.0257,0.0847,1.0782,0.0454,1.5845,0.000271,0.0012,0.0
0.165,FLIGHT,0.857,1.3056,0.7224,1.1662,0.7354,1.1513,0.0019,-0.2097,-0.0198,0.0838,1.0777,0.0425,1.5894,0.000277,0.0011,0.0
0.17,FLIGHT,0.8607,1.3113,0.735,1.1501,0.7447,1.1359,0.0018,-0.2093,-0.0149,0.083,1.0772,0.0398,1.5941,0.000282,0.001,0.0
0.175,FLIGHT,0.8645,1.317,0.7442,1.1347,0.7509,1.1211,0.0018,-0.2089,-0.0109,0.0822,1.0767,0.0372,1.5986,0.000286,0.0009,0.0
0.18,FLIGHT,0.8682,1.3225,0.7503,1.1198,0.7545,1.1067,0.0017,-0.2085,-0.0076,0.0814,1.0762,0.0347,1.6029,0.00029,0.0007,0.0
0.185,FLIGHT,0.872,1.328,0.7538,1.1053,0.7558,1.0924,0.0017,-0.2081,-0.0049,0.0806,1.0756,0.0323,1.607,0.000294,0.0006,0.0
